City,ARIMA_RMSE,LSTM_Residual_RMSE,Hybrid_RMSE
"Jaramana, Syria",5.726454496808008,1.412467128775331,18.959146318431372
"Jerez, Spain",4.051767338324377,1.1803408512074516,18.0247069418794
"Jiamusi, China",18.337112724706444,2.1802248577492778,7.457488194509616
"Jiangmen, China",6.97327117013625,1.4939188050667007,21.760860625414594
"Jiangyin, China",12.474685607356642,1.3594633975674906,17.590070159855802
"Jiaojiang, China",10.452567993908632,1.5440872358425821,17.59514134874957
"Jiaozhou, China",14.372668341342616,1.2221974449404043,14.712864427883234
"Jiaozuo, China",15.285522945993584,1.6038737180309137,15.469027387100045
"Jiaxing, China",12.474685607356642,1.4808207602886443,17.216880866909516
"Jieshou, China",13.67311065933108,1.9637451618253814,16.286333180825842
"Jinan, China",15.814530441514293,1.4248707639183502,15.524998242345042
"Jinchengjiang, China",8.386559883046262,1.4274486046754802,20.133301230106213
"Jingdezhen, China",12.104835086557824,1.475811755913803,17.44443548445627
"Jinhua, China",11.859835863739269,1.3707462781162587,17.27563139116756
"Jishou, China",12.730774250026137,1.4585015598426632,17.359017636997304
"Jiujiang, China",12.104835086557824,1.6056952054253897,17.181513852498366
"Jixi, China",17.86199577396065,2.3209858940157453,7.3893506284696
"Jujuy, Argentina",5.307005464943105,1.5703882454714304,13.17249034094562
"Kaifeng, China",14.234643154213023,1.6618232935985497,16.2932681640214
"Kaili, China",9.844140705995425,1.4408079701726892,16.494430249412595
"Kakogawa, Japan",11.594362122700067,1.064186014839579,16.408512920849375
"Kallithéa, Greece",5.124679769443722,1.2006143993579157,19.37760586585359
"Kansk, Russia",17.03953832478178,2.9626370193456264,6.94266090783608
"Karamay, China",19.09527560103717,3.075925288318764,7.898937073405324
"Kasuga, Japan",11.459933405824662,1.1395702705498907,16.451317976636684
"Kayseri, Turkey",8.412823400120853,1.9519398104876717,10.453750531472993
"Kemerovo, Russia",23.625209300967544,3.2800436761073812,11.837697885772839
"Kendari, Indonesia",0.7915668921416393,0.5057142183402278,27.46355403281174
"Kenitra, Morocco",4.599721267558276,1.2486528323120614,18.257109858902695
"Khabarovsk, Russia",18.17614154861235,2.0626232030934157,6.726500760393803
"Khujand, Tajikistan",8.622312867193143,1.8674455174283866,12.184664882906157
